--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1198.346  000.004  000.004: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.479  000.010  000.010: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.492  000.004  000.004: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.504  000.005  000.005: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.623  000.005  000.005: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.634  000.004  000.004: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.644  000.004  000.004: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.655  000.005  000.005: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.667  000.005  000.005: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.681  000.005  000.005: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1198.696  000.004  000.004: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1211.289  000.025  000.025: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1211.317  000.007  000.007: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1211.339  000.005  000.005: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1211.358  000.006  000.006: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1211.375  000.006  000.006: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1211.395  000.006  000.006: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1211.410  000.005  000.005: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1227.514  000.059  000.059: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1227.666  000.039  000.039: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1227.734  000.058  000.058: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1227.773  000.025  000.025: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1227.795  000.010  000.010: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1236.244  003.842  003.842: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/plugin/editorconfig.lua
1236.278  007.110  003.268: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1242.937  000.543  000.543: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/plugin/gzip.vim
1242.992  006.536  005.992: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1250.532  003.550  003.550: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/plugin/man.lua
1250.570  007.546  003.997: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1264.430  000.481  000.481: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
1264.538  010.925  010.444: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/plugin/matchit.vim
1264.561  013.969  003.044: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1271.096  000.471  000.471: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/plugin/matchparen.vim
1271.156  006.562  006.091: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1282.153  000.442  000.442: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
1282.213  008.438  007.996: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/plugin/netrwPlugin.vim
1282.228  011.037  002.599: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1287.688  002.332  002.332: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/plugin/osc52.lua
1287.706  005.460  003.128: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1291.373  000.199  000.199: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/plugin/rplugin.vim
1291.391  003.671  003.472: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
1294.273  000.104  000.104: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/plugin/shada.vim
1294.302  002.898  002.793: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
